player_id,player,age,height_in,weight_lb,wingspan_in,years_experience,min_salary,max_salary
1630560,Cam Thomas,24.0,75,210.0,79.06738803800309,4,2461463,38661750
1641715,Cam Whitmore,21.0,78,230.0,80.5,2,2296274,38661750
1629661,Cameron Johnson,30.0,80,210.0,82.0,6,2874436,38661750
1626166,Cameron Payne,31.0,74,183.0,79.25,10,3634153,54126450
1627747,Caris LeVert,31.0,79,205.0,82.0,9,3303774,46394100
1642868,Carter Bryant,20.0,78,220.0,83.75,0,1272870,38661750
1641717,Cason Wallace,22.0,75,195.0,80.5,2,2296274,38661750
1642907,Cedric Coward,22.0,77,206.0,86.25,0,1272870,38661750
1643052,Chaney Johnson,23.0,79,220.0,83.00383464436993,0,1272870,38661750
1629646,Charles Bassey,25.0,82,230.0,87.0,4,2461463,38661750
1642404,Chaz Lanier,24.0,75,206.0,81.0,0,1272870,38661750
1631096,Chet Holmgren,24.0,85,208.0,88.9085045539202,3,2378870,38661750
1628449,Chris Boucher,33.0,80,200.0,88.0,8,3287409,46394100
1641753,Chris Livingston,22.0,78,220.0,83.25,2,2296274,38661750
1643024,Chris Mañon,24.0,76,209.0,80.05149968959479,0,1272870,38661750
101108,Chris Paul,41.0,72,175.0,76.25,20,3634153,54126450
1642959,Chris Youngblood,24.0,76,,80.05149968959479,0,1272870,38661750
1631128,Christian Braun,25.0,78,220.0,78.5,3,2378870,38661750
1631132,Christian Koloko,25.0,83,225.0,89.25,3,2378870,38661750
1642935,Chucky Hepburn,23.0,72,190.0,76.11505308322795,0,1272870,38661750
203991,Clint Capela,32.0,82,256.0,85.95616959914507,11,3634153,54126450
1629632,Coby White,26.0,76,210.0,77.0,6,2874436,38661750
1628998,Cody Martin,30.0,78,205.0,82.25,6,2874436,38661750
1642262,Cody Williams,21.0,80,190.0,85.0,1,2048494,38661750
1641732,Colby Jones,24.0,78,207.0,80.0,2,2296274,38661750
1630175,Cole Anthony,26.0,74,185.0,78.08327638641137,5,2667944,38661750
1630658,Colin Castleton,26.0,82,250.0,85.95616959914507,2,2296274,38661750
1631221,Collin Gillespie,26.0,73,195.0,76.0,3,2378870,38661750
1642867,Collin Murray-Boyles,20.0,79,245.0,84.75,0,1272870,38661750
1629012,Collin Sexton,27.0,75,190.0,79.25,7,3080921,46394100
1642843,Cooper Flagg,19.0,81,205.0,84.0,0,1272870,38661750
1630557,Corey Kispert,27.0,78,224.0,79.0,4,2461463,38661750
1642504,Cormac Ryan,27.0,77,205.0,81.03561134118651,0,1272870,38661750
1641854,Craig Porter Jr.,26.0,73,180.0,77.09916473481965,2,2296274,38661750
1642938,Curtis Jones,24.0,75,195.0,79.06738803800309,0,1272870,38661750
1626156,D'Angelo Russell,30.0,75,193.0,81.75,10,3634153,54126450
1629610,DaQuan Jeffries,28.0,77,222.0,83.25,6,2874436,38661750
1641747,DaRon Holmes II,23.0,81,225.0,84.5,1,2048494,38661750
1631342,Daeqwon Plowden,27.0,76,216.0,80.05149968959479,1,2048494,38661750
1630625,Dalano Banton,26.0,80,203.0,83.98794629596165,4,2461463,38661750
1631207,Dalen Terry,23.0,78,210.0,84.75,3,2378870,38661750
1642261,Dalton Knecht,25.0,78,215.0,81.0,1,2048494,38661750
1629655,Daniel Gafford,27.0,82,265.0,86.5,6,2874436,38661750
1642450,Daniss Jenkins,24.0,76,165.0,80.05149968959479,1,2048494,38661750
1642874,Danny Wolf,22.0,83,250.0,86.25,0,1272870,38661750
203967,Dario Saric,32.0,82,225.0,85.95616959914507,9,3303774,46394100
1641727,Dariq Whitehead,21.0,78,220.0,82.25,2,2296274,38661750
1642468,Darius Brown,26.0,74,192.0,78.08327638641137,0,1272870,38661750
1629636,Darius Garland,26.0,73,192.0,77.09916473481965,6,2874436,38661750
1642357,David Jones Garcia,24.0,76,210.0,78.75,0,1272870,38661750
1631223,David Roddy,25.0,77,255.0,83.5,3,2378870,38661750
1630558,Davion Mitchell,27.0,72,202.0,76.25,4,2461463,38661750
1630549,Day'Ron Sharpe,24.0,82,265.0,85.95616959914507,4,2461463,38661750
1628368,De'Aaron Fox,28.0,75,185.0,78.5,8,3287409,46394100
1629631,De'Andre Hunter,28.0,79,221.0,83.00383464436993,6,2874436,38661750
1629001,De'Anthony Melton,28.0,74,200.0,80.5,7,3080921,46394100
201599,DeAndre Jordan,37.0,83,265.0,90.0,17,3634153,54126450
1630610,DeJon Jarreau,28.0,77,185.0,81.03561134118651,4,2461463,38661750
201942,DeMar DeRozan,36.0,78,220.0,81.0,16,3634153,54126450
1629731,Dean Wade,29.0,81,228.0,84.97205794755335,6,2874436,38661750
1629028,Deandre Ayton,27.0,84,252.0,87.92439290232849,7,3080921,46394100
1627749,Dejounte Murray,29.0,76,180.0,80.05149968959479,9,3303774,46394100
1630166,Deni Avdija,25.0,80,228.0,83.98794629596165,5,2667944,38661750
203471,Dennis Schröder,32.0,73,175.0,79.75,12,3634153,54126450
1641726,Dereck Lively II,22.0,85,230.0,88.9085045539202,2,2296274,38661750
1642852,Derik Queen,21.0,81,250.0,84.5,0,1272870,38661750
1627884,Derrick Jones Jr.,29.0,78,210.0,82.01972299277821,9,3303774,46394100
1628401,Derrick White,31.0,76,190.0,79.5,8,3287409,46394100
1630217,Desmond Bane,27.0,78,215.0,82.01972299277821,5,2667944,38661750
1626164,Devin Booker,29.0,77,206.0,80.25,10,3634153,54126450
1642269,Devin Carter,24.0,74,195.0,80.75,1,2048494,38661750
1630170,Devin Vassell,25.0,77,200.0,81.03561134118651,5,2667944,38661750
1628415,Dillon Brooks,30.0,79,225.0,78.0,8,3287409,46394100
1641794,Dillon Jones,24.0,77,235.0,83.0,1,2048494,38661750
1627734,Domantas Sabonis,30.0,82,240.0,85.95616959914507,9,3303774,46394100
1631230,Dominick Barlow,23.0,81,224.0,87.0,3,2378870,38661750
1642270,Donovan Clingan,22.0,86,280.0,90.75,1,2048494,38661750
1628378,Donovan Mitchell,29.0,74,215.0,82.0,8,3287409,46394100
1628978,Donte DiVincenzo,29.0,76,203.0,78.0,7,3080921,46394100
1627827,Dorian Finney-Smith,33.0,79,220.0,83.75,9,3303774,46394100
203926,Doug McDermott,34.0,79,225.0,81.25,11,3634153,54126450
1642962,Drake Powell,20.0,77,195.0,84.0,0,1272870,38661750
203110,Draymond Green,36.0,78,230.0,85.25,13,3634153,54126450
1629234,Drew Eubanks,29.0,82,245.0,85.95616959914507,7,3080921,46394100
1641809,Drew Peterson,26.0,80,205.0,83.98794629596165,2,2296274,38661750
1631166,Drew Timme,25.0,81,235.0,85.75,1,2048494,38661750
1630696,Dru Smith,28.0,74,203.0,78.08327638641137,3,2378870,38661750
1629130,Duncan Robinson,32.0,79,215.0,83.00383464436993,7,3080921,46394100
1641871,Duop Reath,29.0,81,245.0,84.97205794755335,2,2296274,38661750
203939,Dwight Powell,34.0,82,240.0,84.5,11,3634153,54126450
1642928,Dylan Cardwell,24.0,82,255.0,85.95616959914507,0,1272870,38661750
1642844,Dylan Harper,20.0,77,215.0,82.5,0,1272870,38661750
1630700,Dyson Daniels,23.0,79,199.0,82.5,3,2378870,38661750
1630604,E.J. Liddell,25.0,78,240.0,83.75,3,2378870,38661750
1642856,Egor Dëmin,20.0,80,200.0,82.25,0,1272870,38661750
1641989,Elijah Harkless,26.0,75,195.0,79.06738803800309,1,2048494,38661750
1641801,Emanuel Miller,25.0,77,215.0,81.03561134118651,1,2048494,38661750
1642402,Enrique Freeman,25.0,81,220.0,86.0,1,2048494,38661750
201569,Eric Gordon,37.0,75,215.0,81.0,17,3634153,54126450
1630679,Ethan Thompson,27.0,76,195.0,80.05149968959479,1,2048494,38661750
1630596,Evan Mobley,24.0,83,215.0,86.94028125073677,4,2461463,38661750
1630532,Franz Wagner,24.0,82,220.0,85.95616959914507,4,2461463,38661750
1641713,GG Jackson,21.0,81,210.0,83.5,2,2296274,38661750
1629216,Gabe Vincent,29.0,74,200.0,78.08327638641137,6,2874436,38661750
202066,Garrett Temple,40.0,77,195.0,81.03561134118651,16,3634153,54126450
1629726,Garrison Mathews,29.0,77,215.0,81.03561134118651,6,2874436,38661750
203914,Gary Harris,31.0,76,210.0,78.75,11,3634153,54126450
1627780,Gary Payton II,33.0,74,195.0,80.0,9,3303774,46394100
1629018,Gary Trent Jr.,27.0,77,204.0,80.75,7,3080921,46394100
203507,Giannis Antetokounmpo,31.0,83,243.0,86.94028125073677,12,3634153,54126450
1629048,Goga Bitadze,26.0,83,250.0,86.94028125073677,6,2874436,38661750
1641711,Gradey Dick,22.0,79,200.0,80.75,2,2296274,38661750
1641761,Grant Nelson,24.0,84,215.0,84.0,0,1272870,38661750
1629684,Grant Williams,27.0,79,236.0,81.75,6,2874436,38661750
1628960,Grayson Allen,30.0,75,198.0,79.25,7,3080921,46394100
1627824,Guerschon Yabusele,30.0,79,265.0,83.00383464436993,8,3287409,46394100
1630611,Gui Santos,23.0,79,185.0,83.00383464436993,2,2296274,38661750
203084,Harrison Barnes,34.0,79,225.0,83.25,13,3634153,54126450
1631127,Harrison Ingram,23.0,77,230.0,84.25,1,2048494,38661750
1643060,Hayden Gray,23.0,76,190.0,80.05149968959479,0,1272870,38661750
1629312,Haywood Highsmith,29.0,77,220.0,81.03561134118651,7,3080921,46394100
1630529,Herbert Jones,27.0,79,206.0,84.25,4,2461463,38661750
1642864,Hugo González,20.0,78,200.0,82.75,0,1272870,38661750
1630621,Hunter Dickinson,25.0,85,255.0,88.9085045539202,0,1272870,38661750
1642282,Hunter Sallis,23.0,76,185.0,81.75,0,1272870,38661750
1641816,Hunter Tyson,25.0,80,215.0,83.98794629596165,2,2296274,38661750
1630193,Immanuel Quickley,26.0,74,190.0,80.25,5,2667944,38661750
